logement,surface_m2,chauffage,ampoules,lave_linge,lave_vaisselle,four,climatisation,nb_personnes,transport_mode,transport_km_semaine,estimation_kgCO2_an
maison,30,electrique,9,0,0,0,1,5,velo,31,176.06
maison,72,gaz,12,1,0,1,0,5,voiture,200,1643.0
appartement,145,gaz,11,1,0,0,1,5,velo,74,801.24
maison,131,gaz,24,1,1,1,0,4,voiture,21,1028.54
appartement,92,pompe à chaleur,9,1,0,0,1,1,marche,0,1185.0
maison,101,gaz,9,1,1,0,1,1,voiture,71,3253.04
maison,72,gaz,14,1,1,0,0,5,voiture,172,1470.28
appartement,135,gaz,5,1,0,0,1,3,marche,0,1200.0
maison,65,pompe à chaleur,8,0,1,1,1,6,voiture,99,772.76
maison,91,pompe à chaleur,22,0,0,1,1,1,velo,54,1324.04
appartement,140,gaz,23,0,0,1,0,5,voiture,98,1363.52
maison,51,pompe à chaleur,9,0,0,0,1,6,marche,0,125.0
appartement,133,electrique,5,1,1,0,0,6,marche,0,459.1666666666667
appartement,58,pompe à chaleur,15,0,0,1,0,6,marche,0,126.66666666666667
maison,118,gaz,8,0,0,1,0,2,velo,23,1535.98
appartement,85,pompe à chaleur,13,0,1,1,1,2,velo,113,619.38
appartement,145,electrique,17,0,0,0,0,2,marche,0,1535.0
appartement,60,gaz,20,0,1,1,0,3,velo,33,591.9133333333334
appartement,112,electrique,9,0,1,0,1,2,voiture,119,1992.56
appartement,66,electrique,11,1,1,0,0,1,marche,0,1475.0
maison,66,gaz,16,0,1,0,0,3,marche,0,610.0
maison,132,electrique,21,0,0,1,0,4,velo,72,738.72
maison,115,pompe à chaleur,24,1,0,0,0,1,velo,193,1465.18
maison,111,electrique,16,1,0,1,0,3,marche,0,811.6666666666666
maison,63,pompe à chaleur,15,1,0,0,0,6,velo,179,180.70666666666665
appartement,95,gaz,8,0,0,0,1,3,velo,36,877.6933333333334
maison,104,gaz,18,0,0,1,1,3,marche,0,986.6666666666666
appartement,32,electrique,7,1,1,1,0,3,voiture,54,598.6266666666667
maison,66,electrique,24,0,1,0,1,5,voiture,194,1556.56
maison,65,electrique,24,1,0,1,1,2,marche,0,872.5
maison,81,electrique,15,0,0,1,1,3,voiture,17,756.08
appartement,109,pompe à chaleur,9,1,1,0,0,2,marche,0,612.5
appartement,95,pompe à chaleur,10,1,0,1,1,2,marche,0,627.5
maison,146,gaz,15,1,1,0,1,2,marche,0,1997.5
appartement,94,gaz,24,1,0,0,1,5,voiture,168,1601.32
maison,70,electrique,25,0,0,1,0,6,voiture,175,1372.0
maison,82,gaz,12,1,0,1,0,2,marche,0,1112.5
appartement,127,gaz,19,0,0,0,1,2,velo,101,1783.76
appartement,122,pompe à chaleur,20,1,0,0,1,1,marche,0,1595.0
appartement,68,electrique,19,1,0,1,1,2,velo,183,925.08
appartement,115,electrique,21,1,1,1,0,6,marche,0,430.8333333333333
appartement,48,pompe à chaleur,10,1,1,1,1,1,marche,0,805.0
maison,143,electrique,18,1,1,1,0,5,marche,0,623.0
maison,97,electrique,6,0,0,1,0,1,marche,0,2030.0
appartement,33,electrique,16,1,1,0,1,5,voiture,134,1039.1599999999999
appartement,135,electrique,20,0,0,0,0,4,velo,97,750.22
maison,49,electrique,14,0,1,0,1,6,voiture,172,1288.28
appartement,80,gaz,7,1,0,0,0,5,velo,67,436.42
maison,137,pompe à chaleur,19,1,0,0,1,4,velo,33,442.33
maison,62,electrique,15,1,0,0,1,6,voiture,110,947.2333333333333
appartement,50,gaz,8,1,0,0,1,5,velo,197,352.22
maison,119,gaz,17,1,1,0,1,3,velo,70,1131.5333333333333
maison,128,pompe à chaleur,13,1,1,0,0,4,velo,25,370.25
maison,68,pompe à chaleur,7,1,0,0,1,4,velo,158,272.33
appartement,85,gaz,24,1,0,1,1,4,marche,0,642.5
maison,97,electrique,14,1,1,0,0,1,velo,111,2153.86
maison,61,electrique,11,0,0,0,1,3,marche,0,493.3333333333333
appartement,137,gaz,24,1,0,0,1,6,velo,171,684.46
maison,130,gaz,9,0,1,0,0,3,voiture,149,2049.76
appartement,93,electrique,18,1,0,1,1,5,voiture,144,1347.56
maison,108,gaz,9,0,1,0,1,1,velo,141,2996.66
maison,87,pompe à chaleur,23,1,0,1,1,6,velo,161,259.36
appartement,52,gaz,11,1,1,1,0,1,velo,114,1514.64
appartement,85,electrique,10,1,1,0,0,2,marche,0,922.5
appartement,30,pompe à chaleur,25,1,1,1,1,5,voiture,179,1271.96
maison,47,gaz,11,1,1,0,0,4,velo,47,344.72
maison,138,pompe à chaleur,8,0,1,1,1,5,velo,110,360.6
appartement,41,electrique,6,1,0,0,0,2,voiture,115,1170.1
maison,123,pompe à chaleur,10,1,1,0,0,1,marche,0,1375.0
appartement,39,pompe à chaleur,19,1,0,1,0,5,marche,0,127.0
appartement,88,pompe à chaleur,18,1,1,0,0,4,marche,0,276.25
appartement,51,pompe à chaleur,15,0,1,0,0,1,velo,114,709.64
appartement,53,gaz,25,0,1,1,1,2,velo,41,898.16
maison,74,electrique,21,1,0,0,1,6,marche,0,310.8333333333333
maison,36,gaz,17,0,0,1,1,3,marche,0,416.6666666666667
appartement,144,pompe à chaleur,22,0,0,0,0,3,velo,135,588.4333333333334
appartement,70,electrique,10,0,0,0,0,5,voiture,129,1104.96
maison,63,gaz,23,1,0,0,0,4,voiture,180,1580.7
maison,46,electrique,22,1,0,1,0,4,marche,0,298.75
maison,50,electrique,8,0,1,1,1,2,marche,0,640.0
maison,103,gaz,10,1,1,0,0,6,velo,84,475.1733333333333
appartement,76,pompe à chaleur,19,1,0,0,0,1,marche,0,975.0
appartement,129,pompe à chaleur,25,1,1,1,1,4,marche,0,441.25
appartement,102,gaz,18,1,0,0,0,6,voiture,126,1245.4066666666668
maison,41,pompe à chaleur,8,0,0,0,1,5,voiture,53,458.72
maison,131,gaz,9,1,1,0,1,4,voiture,50,1202.0
maison,56,gaz,17,1,0,1,1,2,marche,0,887.5
appartement,52,electrique,14,0,1,0,1,6,marche,0,225.0
appartement,131,pompe à chaleur,8,0,0,1,0,6,marche,0,236.66666666666666
appartement,107,pompe à chaleur,22,0,1,0,0,3,voiture,101,1066.9066666666668
maison,128,gaz,23,1,1,1,1,3,marche,0,1218.3333333333333
appartement,34,pompe à chaleur,5,1,0,1,1,1,marche,0,595.0
appartement,102,pompe à chaleur,23,1,0,1,0,4,velo,12,329.37
appartement,80,electrique,21,1,1,0,1,6,marche,0,334.1666666666667
maison,34,pompe à chaleur,5,1,0,0,0,3,velo,83,159.91333333333336
appartement,65,gaz,8,0,1,0,0,2,marche,0,862.5
maison,100,electrique,9,0,1,1,0,5,velo,166,471.15999999999997
maison,76,pompe à chaleur,12,1,0,0,1,2,marche,0,527.5
appartement,91,gaz,5,0,0,1,0,5,marche,0,471.0
maison,134,pompe à chaleur,25,1,1,1,1,3,velo,101,631.26
appartement,131,gaz,6,0,0,1,1,3,marche,0,1171.6666666666667
maison,89,gaz,24,0,0,0,1,2,marche,0,1307.5
maison,55,gaz,15,1,1,1,1,3,velo,50,596.3333333333334
appartement,59,gaz,17,1,0,1,1,6,marche,0,308.3333333333333
maison,110,gaz,19,0,0,1,0,5,voiture,51,912.24
maison,35,electrique,10,0,1,1,0,2,velo,182,472.32
appartement,35,gaz,5,0,0,0,1,3,voiture,90,919.9333333333334
maison,56,gaz,11,0,0,1,1,2,velo,87,867.62
appartement,86,pompe à chaleur,6,0,0,1,1,6,marche,0,183.33333333333334
maison,73,electrique,6,0,1,1,1,6,velo,179,333.2066666666667
maison,73,electrique,19,1,0,0,0,3,voiture,96,1157.3733333333334
maison,106,gaz,20,0,0,0,1,1,velo,175,3045.5
maison,79,gaz,7,1,1,0,1,4,marche,0,560.0
appartement,122,pompe à chaleur,11,0,1,0,1,2,velo,108,778.08
maison,100,electrique,15,1,1,0,1,5,marche,0,469.0
maison,83,gaz,15,1,0,1,0,6,marche,0,380.0
appartement,73,electrique,18,0,0,1,1,6,voiture,90,864.9333333333334
maison,99,electrique,22,0,1,1,0,2,velo,31,1133.06
appartement,107,gaz,22,0,0,1,1,6,velo,53,526.28
maison,56,electrique,6,0,0,1,0,4,velo,30,310.3
maison,53,gaz,10,1,0,1,0,6,velo,16,250.82666666666665
maison,91,electrique,20,1,0,1,1,3,velo,162,783.7866666666666
maison,122,electrique,6,1,1,1,1,1,marche,0,2725.0
maison,50,pompe à chaleur,24,0,1,1,0,2,voiture,11,463.64
maison,145,pompe à chaleur,12,1,1,1,0,1,voiture,200,2893.0
appartement,123,electrique,12,0,1,0,0,3,voiture,156,1840.1066666666666
appartement,110,gaz,16,1,1,0,0,5,marche,0,591.0
maison,124,gaz,21,1,0,0,0,3,marche,0,1111.6666666666667
appartement,103,pompe à chaleur,17,1,0,0,1,5,voiture,79,767.96
maison,39,gaz,16,1,1,1,1,1,marche,0,1360.0
maison,119,gaz,23,1,1,1,0,4,voiture,175,1912.0
appartement,109,electrique,5,0,1,0,1,6,voiture,140,1273.6
maison,90,gaz,5,0,0,1,0,5,velo,98,491.48
maison,92,electrique,23,0,0,0,1,2,marche,0,1110.0
maison,47,pompe à chaleur,8,1,1,0,1,2,marche,0,372.5
appartement,65,gaz,18,1,1,0,1,2,velo,42,1010.92
appartement,148,pompe à chaleur,15,0,0,0,0,1,voiture,194,2840.56
appartement,100,gaz,24,1,1,0,1,2,marche,0,1467.5
maison,123,pompe à chaleur,25,1,0,0,1,3,marche,0,551.6666666666666
appartement,69,electrique,17,0,0,0,0,5,marche,0,310.0
maison,92,pompe à chaleur,8,0,1,1,0,5,marche,0,210.0
maison,68,gaz,12,0,0,0,1,5,voiture,172,1467.28
appartement,71,gaz,16,1,1,0,0,1,voiture,177,3084.48
appartement,70,pompe à chaleur,5,0,0,1,0,6,velo,163,172.38
appartement,60,gaz,7,0,1,0,1,3,velo,124,612.24
maison,37,pompe à chaleur,24,1,0,1,0,4,velo,24,172.49
maison,37,gaz,7,1,0,1,1,5,voiture,88,789.12
maison,67,gaz,13,1,1,0,1,4,velo,129,533.54
maison,33,gaz,5,1,0,1,0,4,velo,136,267.86
maison,71,gaz,25,1,0,1,1,2,velo,44,1126.44
appartement,111,pompe à chaleur,12,0,1,1,1,3,velo,159,518.0066666666667
appartement,149,gaz,15,1,1,0,1,3,marche,0,1356.6666666666667
appartement,118,gaz,7,0,1,0,1,5,velo,195,688.7
appartement,86,pompe à chaleur,22,0,0,0,1,6,marche,0,205.0
maison,132,gaz,22,1,0,0,0,1,voiture,25,3701.0
maison,103,gaz,15,0,1,1,1,1,voiture,57,3280.68
appartement,96,gaz,18,1,0,1,0,6,marche,0,439.1666666666667
maison,146,pompe à chaleur,13,1,0,0,1,3,voiture,49,894.0933333333334
appartement,139,electrique,6,1,1,0,1,2,velo,107,1545.32
maison,84,gaz,22,1,0,0,1,6,voiture,31,609.2733333333333
appartement,42,pompe à chaleur,19,1,1,0,0,6,voiture,70,545.9666666666667
maison,97,gaz,12,1,0,0,1,1,velo,189,2769.14
maison,127,electrique,19,1,0,0,1,5,velo,17,585.42
maison,95,pompe à chaleur,15,0,0,1,1,5,velo,24,262.24
maison,57,electrique,11,1,0,0,1,6,velo,72,256.22
maison,62,electrique,18,0,0,0,1,1,marche,0,1570.0
appartement,45,gaz,25,1,1,0,0,6,velo,58,251.74666666666667
appartement,125,gaz,22,1,0,1,0,1,voiture,138,4261.12
appartement,34,gaz,23,1,0,0,0,4,marche,0,276.25
appartement,140,pompe à chaleur,15,0,1,0,0,4,velo,182,439.82
maison,31,gaz,23,1,1,1,1,4,voiture,24,457.26
maison,104,electrique,24,0,1,1,1,5,velo,96,528.96
maison,47,pompe à chaleur,7,0,0,1,0,6,velo,67,112.42
appartement,58,pompe à chaleur,8,0,1,0,0,2,voiture,195,1556.8
maison,98,electrique,13,1,1,0,0,2,marche,0,1067.5
appartement,66,gaz,10,0,1,0,1,1,velo,187,1968.62
maison,88,electrique,25,0,0,1,1,2,velo,11,1097.86
maison,82,pompe à chaleur,6,1,0,0,1,4,velo,163,306.13
appartement,103,pompe à chaleur,16,0,0,0,0,2,velo,99,620.74
appartement,104,electrique,17,1,1,1,1,5,velo,33,503.58
maison,67,gaz,18,0,0,1,1,1,velo,168,2078.68
appartement,33,pompe à chaleur,15,1,1,0,0,1,voiture,135,1367.4
appartement,77,electrique,16,1,0,1,0,4,marche,0,438.75
appartement,144,gaz,12,0,0,0,0,3,voiture,102,1876.48
maison,60,gaz,10,0,1,1,0,2,marche,0,825.0
appartement,86,electrique,15,1,0,0,1,5,voiture,22,546.28
maison,47,electrique,11,1,0,1,0,6,marche,0,184.16666666666666
appartement,101,pompe à chaleur,12,1,1,1,0,6,voiture,126,987.0733333333334
appartement,33,pompe à chaleur,20,1,0,0,0,4,velo,29,146.29
appartement,53,gaz,15,1,1,0,1,1,velo,23,1675.98
appartement,145,electrique,10,1,1,1,0,4,voiture,14,856.11
appartement,84,electrique,23,1,0,0,1,1,voiture,60,2459.4
appartement,39,gaz,25,0,0,1,1,2,velo,30,710.3
appartement,81,pompe à chaleur,19,1,1,1,0,2,velo,91,561.16
appartement,67,pompe à chaleur,21,0,1,0,0,1,voiture,166,1935.84
appartement,95,electrique,21,0,0,0,1,5,velo,78,472.28
appartement,126,electrique,15,0,0,0,1,4,marche,0,705.0
maison,117,gaz,18,1,1,0,1,3,voiture,87,1642.88
appartement,48,electrique,11,0,0,0,1,2,velo,130,643.8
maison,84,pompe à chaleur,7,0,0,0,0,6,velo,94,176.10666666666665
maison,112,gaz,5,0,0,0,1,5,voiture,106,1261.44
maison,53,pompe à chaleur,16,0,0,1,1,4,voiture,37,448.38
maison,32,electrique,16,0,0,1,1,2,marche,0,490.0
maison,141,pompe à chaleur,21,1,0,1,1,2,voiture,166,1948.34
appartement,40,gaz,12,1,0,0,0,5,marche,0,229.0
maison,115,gaz,25,1,1,1,1,2,marche,0,1675.0
appartement,143,pompe à chaleur,15,0,0,1,0,1,marche,0,1610.0
appartement,83,pompe à chaleur,24,1,0,0,0,5,velo,159,260.34000000000003
maison,78,pompe à chaleur,22,1,0,1,1,2,voiture,168,1650.82
appartement,48,pompe à chaleur,17,1,0,1,0,1,voiture,171,1772.04
maison,99,electrique,18,1,0,1,0,4,velo,159,595.09
maison,60,pompe à chaleur,6,0,1,0,0,2,voiture,151,1282.24
maison,39,gaz,19,1,0,0,1,2,voiture,171,1737.04
appartement,79,electrique,12,0,1,0,0,1,marche,0,1720.0
appartement,58,gaz,16,1,1,1,0,5,velo,175,382.5
appartement,62,pompe à chaleur,16,1,0,0,1,5,voiture,85,721.4
appartement,57,electrique,22,1,0,0,1,3,marche,0,511.6666666666667
appartement,98,gaz,10,0,0,0,1,2,marche,0,1350.0
appartement,73,electrique,5,0,0,1,0,5,marche,0,308.0
maison,38,pompe à chaleur,5,1,1,0,0,3,velo,20,163.53333333333333
maison,94,pompe à chaleur,15,0,1,1,0,5,voiture,159,1220.1599999999999
appartement,134,pompe à chaleur,10,1,0,0,1,4,voiture,158,1389.67
maison,140,electrique,12,1,1,1,1,5,voiture,114,1340.3600000000001
appartement,61,pompe à chaleur,14,1,0,1,1,3,voiture,133,1148.2533333333333
appartement,30,pompe à chaleur,24,1,0,1,0,2,voiture,115,1015.1
appartement,117,gaz,12,0,0,0,1,1,marche,0,3195.0
appartement,103,electrique,22,0,0,0,0,1,marche,0,2280.0
appartement,46,pompe à chaleur,23,0,1,0,1,3,velo,34,295.50666666666666
maison,81,electrique,16,0,1,0,1,4,velo,55,501.8
maison,118,pompe à chaleur,9,1,1,1,0,3,voiture,185,1602.7333333333333
appartement,61,pompe à chaleur,10,1,0,1,1,5,voiture,44,457.56
maison,140,gaz,22,0,1,0,0,3,velo,109,1275.0066666666667
appartement,113,electrique,18,0,1,1,0,3,voiture,146,1741.04
appartement,129,electrique,23,1,1,0,0,6,voiture,171,1542.8733333333332
appartement,110,pompe à chaleur,23,1,0,0,0,4,marche,0,338.75
maison,100,pompe à chaleur,19,0,0,1,0,1,marche,0,1220.0
maison,82,electrique,18,1,0,0,1,6,marche,0,332.5
maison,102,electrique,16,0,0,0,0,2,velo,129,1133.54
appartement,48,electrique,14,1,0,1,0,1,velo,121,1186.46
appartement,138,gaz,16,0,0,1,1,1,velo,94,3814.44
maison,63,pompe à chaleur,7,0,1,1,0,4,voiture,105,842.7
appartement,140,gaz,6,0,0,1,0,4,marche,0,897.5
maison,102,pompe à chaleur,17,1,0,0,0,6,velo,29,210.04
appartement,74,electrique,13,1,1,0,1,3,marche,0,601.6666666666666
appartement,150,gaz,6,1,0,1,0,6,voiture,20,768.9666666666666
maison,130,electrique,11,0,1,0,0,1,velo,113,2759.38
appartement,62,pompe à chaleur,15,0,0,0,0,6,marche,0,128.33333333333334
maison,82,electrique,17,0,1,1,1,4,marche,0,502.5
maison,106,pompe à chaleur,9,0,0,0,1,1,velo,62,1316.12
appartement,125,pompe à chaleur,16,0,1,1,0,2,marche,0,730.0
maison,137,gaz,18,1,1,1,1,1,velo,156,3870.56
appartement,57,gaz,11,1,0,1,1,2,marche,0,870.0
maison,140,electrique,17,1,1,0,1,2,voiture,93,2162.82
appartement,123,electrique,19,1,0,1,0,3,velo,153,941.4466666666666
maison,56,gaz,19,1,1,1,0,4,voiture,163,1433.37
appartement,49,gaz,7,1,1,1,0,4,voiture,169,1397.06
appartement,44,pompe à chaleur,11,0,1,1,0,6,voiture,194,1310.56
appartement,86,gaz,18,1,0,0,0,1,marche,0,2355.0
maison,34,pompe à chaleur,18,1,1,0,1,2,marche,0,357.5
appartement,66,pompe à chaleur,17,0,0,0,0,3,voiture,121,1031.7066666666667
maison,66,pompe à chaleur,24,0,0,1,0,3,velo,80,330.8
appartement,54,pompe à chaleur,22,1,0,1,0,4,voiture,120,952.55
maison,73,pompe à chaleur,12,1,0,0,0,5,voiture,50,487.0
appartement,32,pompe à chaleur,24,0,1,0,0,6,velo,148,135.14666666666668
maison,95,electrique,23,1,1,0,1,4,velo,163,623.63
appartement,72,gaz,9,1,1,0,1,3,voiture,113,1400.12
appartement,39,gaz,5,1,0,1,1,3,voiture,142,1296.08
maison,57,electrique,17,1,0,0,1,4,voiture,180,1494.45
appartement,119,pompe à chaleur,25,1,0,1,0,3,voiture,153,1453.0533333333333
appartement,110,pompe à chaleur,9,1,0,1,0,4,velo,193,361.43
maison,150,gaz,20,0,0,0,1,6,velo,159,724.6733333333334
appartement,147,electrique,25,0,0,0,1,5,voiture,146,1579.04
maison,77,pompe à chaleur,7,0,0,1,0,5,voiture,22,311.28
maison,119,pompe à chaleur,24,1,0,1,1,1,voiture,150,2571.0
appartement,36,gaz,19,1,0,0,0,2,voiture,167,1599.58
maison,149,pompe à chaleur,7,1,1,0,0,1,velo,95,1629.7
maison,128,pompe à chaleur,13,0,1,1,0,3,voiture,43,754.9866666666667
maison,110,electrique,14,0,0,0,0,4,marche,0,585.0
maison,100,electrique,12,1,0,0,0,4,marche,0,536.25
appartement,86,electrique,19,0,0,0,0,4,velo,113,506.88
appartement,115,pompe à chaleur,23,0,1,0,0,2,velo,58,715.08
maison,41,electrique,8,0,1,1,1,6,voiture,182,1319.0133333333333
maison,123,gaz,17,0,0,1,1,3,marche,0,1141.6666666666667
maison,45,pompe à chaleur,15,0,0,1,1,3,velo,114,289.64
appartement,135,gaz,7,0,1,0,1,5,velo,141,759.66
appartement,43,gaz,15,1,1,1,1,6,velo,94,266.1066666666667
maison,142,electrique,10,0,1,1,0,3,voiture,75,1464.6666666666665
maison,38,pompe à chaleur,14,1,0,1,0,5,marche,0,115.0
appartement,68,electrique,9,1,0,1,1,2,marche,0,827.5
maison,38,gaz,16,0,1,0,1,6,voiture,42,475.4133333333333
appartement,36,pompe à chaleur,7,0,1,0,1,4,velo,191,199.66
appartement,110,pompe à chaleur,25,1,1,0,0,4,marche,0,348.75
maison,120,electrique,12,1,1,0,1,3,marche,0,905.0
appartement,68,gaz,13,0,1,0,0,2,voiture,79,1417.96
appartement,128,gaz,7,0,0,0,1,1,velo,33,3428.58
appartement,143,pompe à chaleur,5,1,0,0,0,6,voiture,22,388.11333333333334
maison,110,gaz,23,1,0,0,0,1,voiture,142,3891.08
maison,141,electrique,13,1,0,0,1,3,velo,110,1070.2666666666667
maison,122,electrique,25,0,1,1,0,6,velo,172,501.38666666666666
appartement,116,pompe à chaleur,22,1,1,0,1,3,velo,174,570.24
maison,100,gaz,8,0,0,1,0,2,voiture,11,1373.64
appartement,129,gaz,13,1,0,0,0,6,marche,0,563.3333333333334
appartement,53,electrique,10,0,0,0,0,6,velo,184,241.17333333333335
appartement,121,gaz,16,0,1,1,1,1,voiture,166,4420.84
maison,52,pompe à chaleur,10,0,0,0,0,2,marche,0,310.0
maison,111,electrique,12,1,1,1,0,6,marche,0,402.5
appartement,51,electrique,7,1,0,0,1,1,marche,0,1265.0
maison,128,pompe à chaleur,15,1,1,1,1,2,velo,94,851.94
maison,101,gaz,19,1,0,0,0,6,velo,159,498.00666666666666
maison,136,gaz,21,0,0,0,1,6,voiture,90,1188.2666666666667
maison,116,pompe à chaleur,16,0,0,1,1,3,velo,23,505.98
appartement,76,electrique,23,0,0,0,1,3,marche,0,633.3333333333334
maison,54,gaz,20,1,1,0,1,4,velo,89,459.39
maison,77,pompe à chaleur,10,1,0,0,0,1,voiture,55,1238.2
maison,69,pompe à chaleur,18,1,1,0,1,6,voiture,84,701.66
appartement,77,electrique,22,1,1,0,1,4,velo,71,507.21
maison,141,electrique,9,0,1,1,1,5,voiture,152,1570.48
appartement,48,pompe à chaleur,10,1,1,1,0,5,voiture,127,923.48
maison,134,electrique,5,1,1,1,1,2,velo,87,1500.12
maison,124,electrique,10,1,1,0,1,1,velo,101,2801.26
maison,48,electrique,24,1,0,0,0,5,voiture,67,663.0799999999999
maison,37,gaz,24,1,0,0,0,6,marche,0,198.33333333333334
maison,114,pompe à chaleur,15,1,1,0,1,1,marche,0,1485.0
maison,136,pompe à chaleur,19,0,0,0,1,6,velo,41,293.99333333333334
maison,116,pompe à chaleur,10,0,1,1,1,1,marche,0,1460.0
maison,104,pompe à chaleur,16,1,0,0,1,3,velo,173,503.31333333333333
appartement,121,pompe à chaleur,11,1,1,1,1,1,velo,115,1574.9
appartement,121,pompe à chaleur,25,1,1,1,1,3,voiture,140,1435.2666666666667
appartement,59,gaz,20,1,1,1,0,3,velo,35,592.4333333333334
maison,81,electrique,24,1,1,0,1,1,velo,105,2082.3
appartement,63,pompe à chaleur,20,1,1,0,0,3,marche,0,291.6666666666667
appartement,58,gaz,25,0,0,0,0,6,voiture,154,1244.2933333333333
appartement,112,gaz,5,0,1,1,0,1,velo,29,2907.54
maison,30,pompe à chaleur,21,0,0,0,0,2,voiture,167,1297.08
maison,101,pompe à chaleur,7,1,1,1,1,1,voiture,66,1716.84
maison,148,gaz,12,0,0,1,1,3,voiture,49,1639.0933333333332
maison,131,gaz,8,1,0,0,0,4,marche,0,845.0
maison,127,pompe à chaleur,20,0,1,0,1,6,voiture,135,1115.7333333333333
appartement,57,pompe à chaleur,9,1,1,0,0,1,voiture,75,1173.0
appartement,132,pompe à chaleur,23,0,1,1,0,4,velo,175,445.5
maison,48,electrique,11,1,1,0,1,3,velo,144,459.1066666666667
maison,52,electrique,11,0,0,1,0,2,velo,191,639.66
appartement,83,electrique,12,0,0,0,1,3,velo,125,675.8333333333334
appartement,81,gaz,24,0,0,1,0,2,marche,0,1147.5
maison,106,gaz,18,0,0,1,1,5,voiture,157,1581.6799999999998
maison,59,gaz,12,0,0,1,0,4,marche,0,406.25
maison,119,electrique,14,0,0,0,1,5,marche,0,534.0
appartement,54,gaz,17,0,1,0,1,6,velo,118,312.3466666666667
appartement,40,gaz,11,0,0,1,1,2,velo,67,662.42
appartement,110,electrique,21,0,1,1,1,5,marche,0,522.0
appartement,113,pompe à chaleur,5,0,1,1,0,3,velo,190,459.4
maison,140,gaz,22,0,1,0,0,1,marche,0,3740.0
appartement,89,gaz,8,1,0,1,1,6,velo,131,452.3933333333333
appartement,35,electrique,12,0,0,0,0,1,velo,174,865.24
appartement,61,pompe à chaleur,11,0,0,1,1,2,marche,0,450.0
appartement,69,electrique,16,1,1,1,0,4,voiture,172,1477.03
appartement,112,pompe à chaleur,10,1,1,1,1,4,velo,92,385.17
maison,78,electrique,7,1,0,1,0,6,voiture,56,630.2733333333333
appartement,45,electrique,9,0,0,0,0,1,voiture,71,1433.04
appartement,80,gaz,5,0,1,0,0,4,voiture,117,1247.58
maison,115,gaz,22,1,0,0,0,2,marche,0,1560.0
appartement,75,electrique,20,1,1,0,1,2,voiture,177,2051.98
appartement,66,pompe à chaleur,14,1,0,0,0,6,velo,66,154.66
maison,90,pompe à chaleur,15,1,1,0,0,3,voiture,85,895.4
maison,112,pompe à chaleur,14,1,1,0,0,2,velo,146,690.46
maison,40,gaz,25,0,1,0,1,1,velo,122,1451.72
